text,language,label
ঘটনাৰ বিৱৰণি মতে বোকাকাতৰ কৈলাখাতত নিয়মিতভাৱে বহা জুৱাৰ আড্ডাত শুকুৰবাৰে অৰ্থাৎ ১৯ এপ্ৰিলৰ নিশা প্ৰাক্তন সেনা জোৱানজনে গুলী ফুটাই সন্ত্ৰাসৰ সৃষ্টি কৰে।,asm_Beng,0
বোকাখাতৰ কৈলাখাতত নিয়মিতভাৱে বহা এই জুৱাৰ থলীত জুৱাৰীৰ পৰা ধন লুটাৰ স্বাৰ্থতে ধৃত প্ৰাক্তন সেনা জোৱান মোহন কছাৰীয়ে গুলী ফুটাই সন্ত্ৰাস সৃষ্টি কৰে।,asm_Beng,0
ৰাণু মণ্ডলৰ সুৱদী কন্ঠত মুগ্ধ হৈ ভাইজান ছলমানে এই উপহাৰ দিয়া বুলি চৰ্চা হৈছে।,asm_Beng,0
"বহুতে ইয়াকো কৈছে যে, ছলমানৰ আহিবলগীয়া ছবিৰ বাবে চুক্তি কৰাইছে ৰাণু মণ্ডলক।",asm_Beng,0
কিন্তু আঁচল কথাতো হল ছচিয়েল মিডিয়াত প্ৰচাৰিত এই সকলো খবৰ মিছা।,asm_Beng,0
শেহতীয়াকৈ টাইমছ অফ ইণ্ডিয়াই সদৰি কৰিছে এই তথ্য।,asm_Beng,0
"ইফালে আজিৰ মেচখন সম্পৰ্কে নৰ্থ-ইষ্টৰ প্ৰশিক্ষক ছেট্টৰীয়ে প্ৰৱল আত্মবিশ্বাসেৰে কয়, ‘প্ৰথম মেচখনত দুজনকৈ খেলুৱৈৰ আঘাত সত্ত্বেও আমি মেচ জিকিছো।",asm_Beng,0
আমি ফাইনেল খেলাৰ লক্ষ্যৰেই আহিছো।,asm_Beng,0
গতিকে মেচ জিকিহে উভতিম’।,asm_Beng,0
মোহন ভাৱৰীয়াই তেওঁৰ প্ৰাথমিক শিক্ষা কৈহাটীৰ ২২২নং নিম্ন বুনিয়াদী বিদ্যালয়ত আনুষ্ঠানিক শিক্ষাৰ পাতনি মেলিছিল।,asm_Beng,0
অৱশ্যে পিতৃৰ বিয়োগৰ পিছত তাৰ অন্ত পৰে।,asm_Beng,0
">> 02015/02016 মুম্বাই-পুনে-মুম্বাই বিশেষ ৰে’ল ২৭ এপ্ৰিলৰ পৰা ১০মে’, ২০২১লৈ বাতিল কৰা হৈছে।",asm_Beng,0
উল্লেখ্য পৰিবৰ্তনৰ শ্লোগান দিয়া বিজেপি চৰকাৰে অসম তথা দেশৰ গুৰুত্বপূৰ্ণ বিভাগ সমূহ ব্যক্তিগত খণ্ডলৈ নিয়াৰ প্ৰচেষ্টা চলাইছে৷ অসমৰ তেল শোধানাগাৰো ব্যক্তিগত কোম্পানীসমূহৰ হাতত বিক্ৰী কৰিব বিচৰাৰ সময়তে পুনৰ ৰে’ল সেৱা ব্যক্তিগত খণ্ডলৈ নিব বিচৰা কাৰ্যই ৰে’ল বিভাগৰ কৰ্মচাৰী সকললৈ বিপদ কঢ়িয়াই আনিছে৷,asm_Beng,0
মূল্যবৃদ্ধিৰ বিৰুদ্ধে অসম জাতীয় পৰিষদৰ উত্তাল প্ৰতিবাদ,asm_Beng,0
"দোকানীসকলৰ মতে বহুতো পুৰণি দোকান পৰ্যন্ত উচ্ছেদ কৰি নিবনুৱা হ’বলৈ বাধ্য কৰিছে প্ৰশাসনে, গতিকে তেওঁলোকে উগ্ৰপন্থী আৰু নক্সাল হ’ব।",asm_Beng,0
নক্সাল হ’বৰ বাবে শপতগ্ৰহণৰ ভিডিঅ’ ভাইৰেল হৈ পৰে নিমিষতে।,asm_Beng,0
শিৱসাগৰৰ মাহমৰা সমষ্টিৰ বিধায়ক আছিল গগৈ।,asm_Beng,0
মাৰ খং-মিশ্ৰিত প্ৰশ্নবোধক চাৱনিৰে মোলৈ চাই থকা দেখিহে নিজৰ হাতখনলৈ চালো।,asm_Beng,0
চাই উচাপ খাই উঠিলো।,asm_Beng,0
বুধবাৰে এনেদৰে কাৰাবন্দীকেইজনৰ আত্মীয়সকলক ধৰি নিয়া বুলি কোৱা হৈছে।,asm_Beng,0
তেওঁলোকৰ নাম পৰিচয় আদি অৱশ্যে সদৰী কৰা হোৱা নাই।,asm_Beng,0
তা আখৰৰ ছোৱালীৰ নাম:,asm_Beng,0
"আনহাতে, অষ্ট্ৰেলিয়া ভ্ৰমণত চমক সৃষ্টি কৰা আৰু ইংলেণ্ডৰ বিৰুদ্ধে চলিত টেষ্ট শৃংখলাত দেখুওৱা প্ৰদৰ্শনৰ পাছত টী-২০দললৈ উভতিছে উইকেটকীপাৰ বেটছমেন ঋষভ পন্টো।",asm_Beng,0
কোন নেতাই কাৰ কি কি টোপ গিলে সেয়া বহু সময়ত আন্ধাৰতে ৰৈ যায় ।,asm_Beng,0
বুজি পোৱা জনে বুজিব পাৰে হতাশাত পৰি উছুপি উঠা নেতাৰ মৰ্ম বেদনা ।,asm_Beng,0
মন্ত্ৰী বিধায়ক হোৱাৰ সপোন কাৰনো নাথাকে ।,asm_Beng,0
ৰাজনীতি কোনে কিহৰ বাবে কৰে সেয়া এতিয়া দিনৰ পোহৰৰ দৰেই পৰিস্ফুট ।,asm_Beng,0
ডিজিটেল ডেস্কঃ সদ্য সমাপ্ত দেশৰ ৫ ৰাজ্যৰ উপ-নিৰ্বাচনত বিজেপি দলে কিমান খৰচ কৰিলে?,asm_Beng,0
দেশৰ আটাইতকৈ ধনাধ্য ৰাজনৈতিক দল হোৱাৰ উপৰিও কেন্দ্ৰত শাসন কৰি থকা বিজেপিয়ে এই উপ-নিৰ্বাচনত স্বাভাৱিকতে আন দলতকৈ অধিক ধন খৰচ কৰাৰ সম্ভাৱনাই অধিক আছিল।,asm_Beng,0
কোৱা হয় ধনৰ বলৰেই বিজেপিয়ে চকুত লগাকৈ প্ৰচাৰ চলাই আৰু প্ৰচাৰৰ বলতেই সাধাৰণ ৰাইজৰ দৃষ্টি আকৰ্ষণ কৰে।,asm_Beng,0
কিন্তু মাৰপিট কৰা সময়ৰ দৃশ্য সম্বলিত এটা ভিডিঅ’ ছ’চিয়েল মিডিয়াত ভাইৰেল হৈ পৰাত বিধায়কজনৰ স্থিতিক লৈ চৰ্চা হৈছে।,asm_Beng,0
ভিডিঅ’টোৰ দৃশ্যই ইয়াক ম’ৰেল পুলিচিঙৰ ঘটনা বুলি ভাবিবলৈ মানুহক বাধ্য কৰাইছে।,asm_Beng,0
আনহাতে যুৱকজনক আগুৰি লৈ মাৰপিট কৰি থকা উত্তেজিত জুমটোৰ মাজত ব্যক্তিগত সুৰক্ষাকৰ্মীৰ সহিতে বিধায়কজনকো দেখা গৈছে।,asm_Beng,0
গেংটকৰ সমীপৰ ৰেন’ক-পাকয়ং পথ সম্প্ৰসাৰণ প্ৰকল্পৰ বাবে ক্ষতিগ্ৰস্থ হোৱা গাঁওবাসীয়ে বুধবাৰে উপযুক্ত ক্ষতিপূৰণৰ দাবীত এটা প্ৰতিবাদী সমদল উলিয়ায়।,asm_Beng,0
প্ৰতিবাদকাৰী সকলে হাতে হাতে বিভিন্ন দাবী সম্বলিত বেনাৰ- প্লেকাৰ্ড লৈ বিভিন্ন শ্ল’গান দি ২০১৩ৰ ভূমি অধিগ্ৰহণ আইন অনুসৰি ক্ষতিপূৰণৰ দাবী জনায়।,asm_Beng,0
